StkNmS,Year, Total_Catch ,Total_ER, Spawn_Escape , Total_Run 
Stk1,1952,155284,0.837128563,30212,185496
Stk1,1953,894142,0.853044044,154036,1048178
Stk1,1954,206766,0.855055083,35050,241816
Stk1,1955,139325,0.876423225,2159,158970
Stk1,1956,68209,0.731628571,25020,93229
Stk1,1957,313421,0.571653434,234850,548271
Stk1,1958,118860,0.753867328,38807,157667
Stk1,1959,23855,0.899340245,2670,26525
Stk1,1960,67560,0.658049812,14447,102667
Stk1,1961,1026201,0.837631681,198921,1225122
Stk1,1962,81816,0.753842185,26716,108532
Stk1,1963,10315,0.691261225,4607,14922
Stk1,1964,44072,0.579300192,2390,76078
Stk1,1965,233280,0.910094606,23045,256325
Stk1,1966,59920,0.846925795,10830,70750
Stk1,1967,77477,0.786400869,21044,98521
Stk1,1968,26243,0.945182784,1522,27765
Stk1,1969,321518,0.745682128,109655,431173
Stk1,1970,50177,0.593347208,34389,84566
Stk1,1971,230202,0.705833655,95940,326142
Stk1,1972,18883,0.802166525,4657,23540
Stk1,1973,1066289,0.780488822,299892,1366181
Stk1,1974,147403,0.788584482,39518,186921
Stk1,1975,345453,0.810538196,65752,426202
Stk1,1976,27835,0.702975048,11761,39596
Stk1,1977,1225011,0.912514824,117445,1342456
Stk1,1978,96271,0.658150743,50004,146275
Stk1,1979,129956,0.583542133,92746,222702
Stk1,1980,14789,0.466118255,16939,31728
Stk1,1981,626044,0.82864748,129457,755501
Stk1,1982,67246,0.839263651,4557,80125
Stk1,1983,67121,0.737690684,23867,90988
Stk1,1984,10844,0.193487376,45201,56045
Stk1,1985,122311,0.342771067,234519,356830
Stk1,1986,17016,0.373157895,28584,45600
Stk1,1987,29573,0.16635821,148194,177767
Stk1,1988,41768,0.188505021,179807,221575
Stk1,1989,827000,0.682456414,384799,1211799
Stk1,1990,57830,0.373422013,97035,154865
Stk1,1991,371334,0.724620599,141119,512453
Stk1,1992,171309,0.488885781,65617,350407
Stk1,1993,463676,0.402621298,687967,1151643
Stk1,1994,46414,0.227246689,29831,204245
Stk1,1995,15455,0.111859009,122710,138165
Stk1,1996,7981,0.083526949,87569,95550
Stk1,1997,771707,0.461620463,265697,1671734.818
Stk1,1998,21020,0.110771864,30952,189759.3781
Stk1,1999,26804,0.156174431,24532,171628.6063
Stk1,2000,225958,0.597469714,89747,378191.5546
Stk1,2001,43280,0.202067362,170906,214186
Stk1,2002,5717,0.091234062,24637,62663
Stk1,2003,1160.908295,0.038344916,13166,30275.41626
Stk1,2004,40755.97355,0.297271632,9281,137100.1104
Stk1,2005,21495.43282,0.097841562,98537,219696.3372
Stk1,2006,7625.651068,0.136705145,35816,55781.74138
Stk1,2007,971.0157258,0.076284884,5347,12728.80909
Stk1,2008,4138.643721,0.121704613,29867,34005.64372
Stk1,2009,9569.342469,0.117459429,45297,81469.34247
Stk1,2010,6132.356837,0.058471842,60262,104877.0937
Stk1,2011,2229.801333,0.105404031,757,21154.80133
Stk4,1952,NA,NA,NA,NA
Stk4,1953,NA,NA,NA,NA
Stk4,1954,NA,NA,NA,NA
Stk4,1955,NA,NA,NA,NA
Stk4,1956,NA,NA,NA,NA
Stk4,1957,NA,NA,NA,NA
Stk4,1958,15,0.75,5,20
Stk4,1959,125,0.822368421,27,152
Stk4,1960,NA,NA,NA,NA
Stk4,1961,NA,NA,NA,NA
Stk4,1962,NA,NA,NA,NA
Stk4,1963,616,0.585551331,436,1052
Stk4,1964,359,0.710891089,146,505
Stk4,1965,NA,NA,NA,NA
Stk4,1966,NA,NA,NA,NA
Stk4,1967,7731,0.894067307,916,8647
Stk4,1968,2701,0.738987688,954,3655
Stk4,1969,203,0.796078431,52,255
Stk4,1970,36,0.8,9,45
Stk4,1971,13908,0.914939807,1293,15201
Stk4,1972,12915,0.869931295,1931,14846
Stk4,1973,853,0.806238185,205,1058
Stk4,1974,600,0.810810811,140,740
Stk4,1975,11402,0.740053223,4005,15407
Stk4,1976,25100,0.859883522,4090,29190
Stk4,1977,1393,0.78968254,371,1764
Stk4,1978,429,0.800373134,107,536
Stk4,1979,42318,0.718569585,16574,58892
Stk4,1980,14856,0.637788177,8437,23293
Stk4,1981,7782,0.788369973,2089,9871
Stk4,1982,4156,0.785930408,1132,5288
Stk4,1983,4107,0.452113606,4977,9084
Stk4,1984,33488,0.750936204,11107,44595
Stk4,1985,3198,0.666805671,1598,4796
Stk4,1986,4285,0.415656223,6024,10309
Stk4,1987,21198,0.560334118,16633,37831
Stk4,1988,18995,0.413636166,26927,45922
Stk4,1989,25958,0.866826955,3988,29946
Stk4,1990,31598,0.727059365,11862,43460
Stk4,1991,47947,0.699945986,20554,68501
Stk4,1992,40402,0.713161053,9357,56652
Stk4,1993,12728,0.622974891,7703,20431
Stk4,1994,4526,0.221786642,5959,20407
Stk4,1995,7093,0.384548658,11352,18445
Stk4,1996,13359,0.292716596,32279,45638
Stk4,1997,29422,0.816031064,9000,36055
Stk4,1998,3616,0.191840416,8750,18849
Stk4,1999,13938,0.33953715,5697,41050
Stk4,2000,4220,0.293626496,10152,14372
Stk4,2001,1470,0.181750742,6618,8088
Stk4,2002,4630,0.391444031,7198,11828
Stk4,2003,17089.05366,0.50014897,9087,34167.92733
Stk4,2004,40427.44646,0.583947894,2718,69231.25654
Stk4,2005,3237.807041,0.233216307,4220,13883.27895
Stk4,2006,25006.09059,0.3652657,11117,68460.00211
Stk4,2007,6633.999121,0.33639272,11212,19720.99489
Stk4,2008,3246.992522,0.318709647,2270,10187.93299
Stk4,2009,149.5303755,0.092759031,1170,1612.030376
Stk4,2010,8843.708177,0.424538437,10669,20831.34863
Stk4,2011,6057.93005,0.35550915,9884,17040.15227
Stk5,1952,22956,0.764537401,7070,30026
Stk5,1953,516,0.874576271,74,590
Stk5,1954,255,0.85,45,300
Stk5,1955,546,0.876404494,77,623
Stk5,1956,29536,0.790938061,7807,37343
Stk5,1957,7577,0.89478035,891,8468
Stk5,1958,357,0.854066986,61,418
Stk5,1959,1847,0.760395224,582,2429
Stk5,1960,9154,0.628406673,5413,14567
Stk5,1961,1997,0.889532294,248,2245
Stk5,1962,269,0.628504673,159,428
Stk5,1963,4861,0.541675953,4113,8974
Stk5,1964,63833,0.766956229,19396,83229
Stk5,1965,12071,0.880259608,1642,13713
Stk5,1966,343,0.840686275,65,408
Stk5,1967,5631,0.831880632,1138,6769
Stk5,1968,89966,0.897774673,10244,100210
Stk5,1969,2031,0.723290598,777,2808
Stk5,1970,250,0.762195122,78,328
Stk5,1971,4650,0.91607565,426,5076
Stk5,1972,70311,0.8941552,8323,78634
Stk5,1973,3164,0.799191715,795,3959
Stk5,1974,252,0.782608696,70,322
Stk5,1975,5739,0.7432975,1982,7721
Stk5,1976,110904,0.865686787,17207,128111
Stk5,1977,7186,0.735667486,2582,9768
Stk5,1978,5049,0.951384963,258,5307
Stk5,1979,12060,0.759063444,3828,15888
Stk5,1980,42747,0.630161421,25088,67835
Stk5,1981,14761,0.759662395,4670,19431
Stk5,1982,3492,0.789687924,930,4422
Stk5,1983,8716,0.54136646,7384,16100
Stk5,1984,48054,0.624459085,28899,76953
Stk5,1985,11342,0.712437186,4578,15920
Stk5,1986,5207,0.593119945,3572,8779
Stk5,1987,17657,0.652175519,9417,27074
Stk5,1988,70366,0.609947644,44998,115364
Stk5,1989,118946,0.874783044,17026,135972
Stk5,1990,25782,0.82751316,5374,31156
Stk5,1991,13996,0.604448283,9159,23155
Stk5,1992,251822,0.814096409,41747,309327
Stk5,1993,25061,0.582637807,17952,43013
Stk5,1994,15911,0.733225806,3396,21700
Stk5,1995,13898,0.65932919,7181,21079
Stk5,1996,77213,0.43571223,99998,177211
Stk5,1997,41734,0.667178233,6498,62553
Stk5,1998,9355,0.278464057,7248,33595
Stk5,1999,7163,0.214089306,4507,33458
Stk5,2000,100904,0.532331668,88647,189551
Stk5,2001,7207,0.358058426,12921,20128
Stk5,2002,2843,0.566786284,2173,5016
Stk5,2003,18884.50064,0.49316367,9811,38292.56249
Stk5,2004,45440.08138,0.506957634,9606,89632.89694
Stk5,2005,10866.82594,0.228997742,15150,47453.85622
Stk5,2006,6428.659432,0.3652657,2858,17599.95377
Stk5,2007,1584.23211,0.346346719,2555,4574.121893
Stk5,2008,14081.25969,0.347680415,14838,40500.5835
Stk5,2009,2644.467653,0.118054127,9878,22400.46765
Stk5,2010,6594.750253,0.256554623,15766,25705.05328
Stk5,2011,36370.41191,0.302682151,55860,120160.4119
Stk6,1952,156143,0.761517153,48899,205042
Stk6,1953,82979,0.813503657,19023,102002
Stk6,1954,88300,0.833616555,17624,105924
Stk6,1955,78855,0.814575693,17950,96805
Stk6,1956,86399,0.729148557,32094,118493
Stk6,1957,32243,0.723294002,12335,44578
Stk6,1958,41000,0.797960336,10381,51381
Stk6,1959,75789,0.828114073,15731,91520
Stk6,1960,90251,0.786425702,24510,114761
Stk6,1961,34848,0.757466417,11158,46006
Stk6,1962,23684,0.588217763,16580,40264
Stk6,1963,12277,0.491926113,12680,24957
Stk6,1964,32640,0.703508923,13756,46396
Stk6,1965,47268,0.871556588,6966,54234
Stk6,1966,79290,0.791854752,20842,100132
Stk6,1967,112147,0.91601663,10282,122429
Stk6,1968,85279,0.833885809,16988,102267
Stk6,1969,133704,0.8420867,25073,158777
Stk6,1970,42143,0.863851594,6642,48785
Stk6,1971,61738,0.799818629,15452,77190
Stk6,1972,68429,0.83612126,13412,81841
Stk6,1973,64649,0.844599185,11895,76544
Stk6,1974,53095,0.720655302,20581,73676
Stk6,1975,84814,0.679958953,39920,124734
Stk6,1976,167567,0.821036591,36525,204092
Stk6,1977,46872,0.77188591,13852,60724
Stk6,1978,46128,0.650478044,24786,70914
Stk6,1979,108310,0.74260209,37542,145852
Stk6,1980,18387,0.518118801,17101,35488
Stk6,1981,81489,0.762891327,25327,106816
Stk6,1982,21476,0.711502783,8708,30184
Stk6,1983,11037,0.395747427,16852,27889
Stk6,1984,29508,0.651318839,15797,45305
Stk6,1985,5608,0.611692845,3560,9168
Stk6,1986,6997,0.193426218,29177,36174
Stk6,1987,18000,0.568954073,13637,31637
Stk6,1988,31165,0.452243441,37747,68912
Stk6,1989,47121,0.746081257,16037,63158
Stk6,1990,11511,0.485429933,12202,23713
Stk6,1991,18459,0.450670182,22500,40959
Stk6,1992,8049,0.468564443,9129,17178
Stk6,1993,41340,0.644176081,22835,64175
Stk6,1994,4908,0.340644087,9500,14408
Stk6,1995,3824,0.41012441,5500,9324
Stk6,1996,11980,0.193048327,50077,62057
Stk6,1997,51150,0.588282652,35798,86948
Stk6,1998,14365,0.157419482,76888,91253
Stk6,1999,3205,0.081797764,35977,39182
Stk6,2000,23218,0.352557094,42638,65856
Stk6,2001,10456,0.073666486,131481,141937
Stk6,2002,29090,0.243696071,90280,119370
Stk6,2003,45170.829,0.366052606,78229,123399.829
Stk6,2004,96219.98944,0.601416321,60942,159988.9894
Stk6,2005,14917.75486,0.193863579,62047,76949.75486
Stk6,2006,30049.29901,0.436348922,38816,68865.29901
Stk6,2007,2720.875472,0.061074817,41829,44549.87547
Stk6,2008,2321.893827,0.104493061,16921,22220.55514
Stk6,2009,1753.099862,0.053469196,31034,32787.09986
Stk6,2010,2755.051538,0.140757384,16818,19573.05154
Stk6,2011,9883.241522,0.150018295,55997,65880.24152
Stk3,1952,1233243,0.717490639,485585,1718828
Stk3,1953,625442,0.757071803,200691,826133
Stk3,1954,206990,0.857861625,34296,241286
Stk3,1955,545322,0.818201051,121167,666489
Stk3,1956,1211901,0.651977855,646906,1858807
Stk3,1957,454525,0.766498198,138464,592989
Stk3,1958,613128,0.836017895,120104,733391
Stk3,1959,1008990,0.685431881,463060,1472050
Stk3,1960,2027062,0.826155604,426546,2453608
Stk3,1961,120097,0.754387618,39101,159198
Stk3,1962,221334,0.74013115,77713,299047
Stk3,1963,1226460,0.551294539,998231,2224691
Stk3,1964,742658,0.693431311,238272,1070990
Stk3,1965,105319,0.748780696,35335,140654
Stk3,1966,767065,0.785376847,209619,976684
Stk3,1967,952424,0.844992499,174715,1127139
Stk3,1968,1456128,0.778682239,413862,1869990
Stk3,1969,281061,0.798552689,70902,351963
Stk3,1970,625901,0.822159522,135388,761289
Stk3,1971,1892932,0.923325163,157193,2050125
Stk3,1972,1822189,0.764072124,562650,2384839
Stk3,1973,391785,0.87557547,55675,447460
Stk3,1974,549133,0.833081244,110026,659159
Stk3,1975,537834,0.68735854,244631,782465
Stk3,1976,1603656,0.806649343,384390,1988046
Stk3,1977,267369,0.838938936,51330,318699
Stk3,1978,528871,0.782685844,146842,675713
Stk3,1979,1173029,0.819486244,258391,1431420
Stk3,1980,1216895,0.702542129,497759,1732131
Stk3,1981,191304,0.847062574,34540,225844
Stk3,1982,924783,0.787477615,249578,1174361
Stk3,1983,1320172,0.775201482,382833,1703005
Stk3,1984,3429042,0.855288845,580179,4009221
Stk3,1985,622624,0.896379062,71975,694599
Stk3,1986,1087873,0.787356958,293804,1381677
Stk3,1987,1485559,0.779177205,421015,1906574
Stk3,1988,486030,0.572191109,363389,849419
Stk3,1989,463837,0.879782177,63381,527218
Stk3,1990,3796445,0.821335652,825837,4622282
Stk3,1991,3329774,0.762396248,1037737,4367511
Stk3,1992,2706701,0.806125023,511267,3357669
Stk3,1993,2776092,0.833331432,555226,3331318
Stk3,1994,1944427,0.776831455,450745,2503023
Stk3,1995,781142,0.593707841,534559,1315701
Stk3,1996,1049979,0.518680273,974349,2024328
Stk3,1997,2483534,0.715847673,985827,3469361
Stk3,1998,653197,0.344416546,879017,1896532
Stk3,1999,154098,0.137272631,891922,1122569
Stk3,2000,640695,0.457758303,758941,1399636
Stk3,2001,183397,0.215209228,668783,852180
Stk3,2002,263625,0.407811101,382814,646439
Stk3,2003,850132.6513,0.545477291,608321,1558511.538
Stk3,2004,342192.3487,0.626025858,91909,546610.5666
Stk3,2005,347911.7088,0.324849316,535967,1070994.123
Stk3,2006,691171.7573,0.541988902,468947,1275250.757
Stk3,2007,131371.2947,0.300466594,305853,437224.2947
Stk3,2008,180728.2355,0.405839946,249863,445318.991
Stk3,2009,37106.40642,0.12212878,213379,303830.1564
Stk3,2010,1796999.685,0.393993862,2459946,4560983.955
Stk3,2011,667785.7129,0.396011653,916643,1686277.935
Stk2,1952,152847,0.791006619,40384,193231
Stk2,1953,153270,0.784374936,42134,195404
Stk2,1954,768250,0.844129659,141859,910109
Stk2,1955,333029,0.865531957,51739,384768
Stk2,1956,156838,0.803160655,38438,195276
Stk2,1957,134364,0.777182652,38522,172886
Stk2,1958,1045691,0.90283692,112251,1158228
Stk2,1959,591155,0.881715539,79305,670460
Stk2,1960,208611,0.842903378,38880,247491
Stk2,1961,123215,0.724461718,46863,170078
Stk2,1962,206604,0.624013483,124485,331089
Stk2,1963,392339,0.738683155,138794,531133
Stk2,1964,135153,0.795836891,30692,169825
Stk2,1965,118816,0.751044557,39385,158201
Stk2,1966,480568,0.825580616,101529,582097
Stk2,1967,639383,0.874832903,91480,730863
Stk2,1968,153768,0.83507842,30368,184136
Stk2,1969,188858,0.793291021,49211,238069
Stk2,1970,302891,0.868659088,45797,348688
Stk2,1971,514952,0.928438653,39691,554643
Stk2,1972,107550,0.745580589,36700,144250
Stk2,1973,209162,0.873087166,30404,239566
Stk2,1974,204916,0.832338856,41277,246193
Stk2,1975,336948,0.656960863,175941,512889
Stk2,1976,560492,0.788064553,150734,711226
Stk2,1977,97400,0.807648615,23197,120597
Stk2,1978,232932,0.798177021,58898,291830
Stk2,1979,1562201,0.843410395,290042,1852243
Stk2,1980,209931,0.738504564,72050,284265
Stk2,1981,214818,0.907768631,21826,236644
Stk2,1982,375573,0.843997546,69420,444993
Stk2,1983,405087,0.768988513,121692,526779
Stk2,1984,620143,0.910502129,60957,681100
Stk2,1985,411292,0.90714637,42099,453391
Stk2,1986,283926,0.786274276,77177,361103
Stk2,1987,933163,0.815525131,211085,1144248
Stk2,1988,535460,0.592850278,367736,903196
Stk2,1989,320910,0.881405371,43179,364089
Stk2,1990,382274,0.80243244,94120,476394
Stk2,1991,378654,0.797891978,95914,474568
Stk2,1992,513744,0.792302508,98087,648419
Stk2,1993,461255,0.835113683,91071,552326
Stk2,1994,647085,0.676814765,138026,956074
Stk2,1995,273950.6402,0.659226683,141613,415563.6402
Stk2,1996,438501,0.5682538,333163,771664
Stk2,1997,146608,0.725958277,55343,201951
Stk2,1998,261582,0.313241095,185592,835082
Stk2,1999,49597,0.228878244,138182,216696
Stk2,2000,319583,0.461799118,372456,692039
Stk2,2001,92703,0.378390403,152290,244993
Stk2,2002,236951,0.422313079,324128,561079
Stk2,2003,170607.2489,0.614115862,78266,277809.5463
Stk2,2004,434346.1012,0.640574396,87669,678057.2311
Stk2,2005,97808.56016,0.357620019,175690,273498.5602
Stk2,2006,174577.9409,0.559154373,149142,312217.7871
Stk2,2007,17365.00452,0.294461833,41607,58972.00452
Stk2,2008,67653.44731,0.295977333,160923,228576.4473
Stk2,2009,4760.974007,0.120524202,27793,39502.22401
Stk2,2010,166582.6962,0.420385932,204414,396261.3479
Stk2,2011,97613.05115,0.506829942,85484,192595.2734
